Date,Open,prev_close,Actual_Close,Forecast_Close,action,position_size,intraday_return,daily_pnl,capital,profit,return_pct
2024-10-04,34.144268543322056,34.10356903076172,35.11671829223633,34.38816605932526,hold,0.0,0.028480614475030697,0.0,100.0,0.0,0.0
2024-10-07,35.302168003913486,35.11671829223633,35.614253997802734,35.30492079633137,hold,0.0,0.008840420051670739,0.0,100.0,0.0,0.0
2024-10-08,35.365489360181634,35.614253997802734,35.464996337890625,35.56895836136996,hold,0.0,0.00281367455983883,0.0,100.0,0.0,0.0
2024-10-09,35.41976426837167,35.464996337890625,35.618778228759766,35.69220289037052,hold,0.0,0.005618726281750197,0.0,100.0,0.0,0.0
2024-10-10,35.73185634613037,35.618778228759766,36.18415832519531,35.61326819490065,hold,0.0,0.012658227848101333,0.0,100.0,0.0,0.0
2024-10-11,36.18868096253217,36.18415832519531,36.256526947021484,36.145797278515694,hold,0.0,0.0018747846753397468,0.0,100.0,0.0,0.0
2024-10-14,36.346982412413155,36.256526947021484,36.3922119140625,36.39697009438634,hold,0.0,0.001244381201612521,0.0,100.0,0.0,0.0
2024-10-15,36.392212405050756,36.3922119140625,36.40126037597656,36.3478583437266,hold,0.0,0.00024862382163259866,0.0,100.0,0.0,0.0
2024-10-16,36.351508618880054,36.40126037597656,36.460060119628906,36.522317432155134,hold,0.0,0.0029861621944480277,0.0,100.0,0.0,0.0
2024-10-17,36.63645472052274,36.460060119628906,36.849037170410156,36.79145880577914,hold,0.0,0.0058024842062114335,0.0,100.0,0.0,0.0
2024-10-18,36.830947274784826,36.849037170410156,36.93045425415039,36.766637630962066,hold,0.0,0.002701721968299431,0.0,100.0,0.0,0.0
2024-10-21,36.79023790002845,36.93045425415039,36.68168640136719,36.79471016313949,hold,0.0,-0.002950551691354497,0.0,100.0,0.0,0.0
2024-10-22,36.5867047313453,36.68168640136719,36.478153228759766,36.64713007437734,hold,0.0,-0.0029669658249525943,0.0,100.0,0.0,0.0
2024-10-23,36.365079575404124,36.478153228759766,36.414833068847656,36.70190419263287,hold,0.0,0.0013681667694516175,0.0,100.0,0.0,0.0
2024-10-24,36.45101285784823,36.414833068847656,36.238433837890625,36.635386310540746,hold,0.0,-0.00583190982337356,0.0,100.0,0.0,0.0
2024-10-25,36.23843250154206,36.238433837890625,36.32436752319336,36.34830207097598,hold,0.0,0.002371378001729152,0.0,100.0,0.0,0.0
2024-10-28,36.59122863854793,36.32436752319336,36.835472106933594,36.19456424275792,hold,0.0,0.006674918483834613,0.0,100.0,0.0,0.0
2024-10-29,36.98924739362368,36.835472106933594,37.13850784301758,36.56765263605421,hold,0.0,0.004035238884574577,0.0,100.0,0.0,0.0
2024-10-30,36.97568145570673,37.13850784301758,37.102325439453125,37.08645611056874,hold,0.0,0.003425061520451189,0.0,100.0,0.0,0.0
2024-10-31,36.817378380255654,37.102325439453125,36.799285888671875,37.2938985499425,hold,0.0,-0.0004914117294533282,0.0,100.0,0.0,0.0
2024-11-01,36.92592936724518,36.799285888671875,38.10643768310547,36.90396735550885,hold,0.0,0.031969630449097064,0.0,100.0,0.0,0.0
2024-11-04,38.386862932690924,38.10643768310547,38.24212646484375,38.16679588332728,hold,0.0,-0.003770468769510038,0.0,100.0,0.0,0.0
2024-11-05,38.29640511481308,38.24212646484375,38.753231048583984,38.07332636686685,hold,0.0,0.011928689713860408,0.0,100.0,0.0,0.0
2024-11-06,39.28242293760653,38.753231048583984,36.695255279541016,38.390216276315755,hold,0.0,-0.06586069454460064,0.0,100.0,0.0,0.0
2024-11-07,36.99829961821289,36.695255279541016,36.18867874145508,36.62531257736065,hold,0.0,-0.02188265096267461,0.0,100.0,0.0,0.0
2024-11-08,36.03037313929222,36.18867874145508,36.17058563232422,36.49938757016758,hold,0.0,0.00389150821419304,0.0,100.0,0.0,0.0
2024-11-11,36.532429133936525,36.17058563232422,36.89879608154297,36.45257644553452,hold,0.0,0.010028540567703637,0.0,100.0,0.0,0.0
2024-11-12,36.636455341308874,36.89879608154297,36.27461242675781,36.46628353908789,hold,0.0,-0.009876580885898933,0.0,100.0,0.0,0.0
2024-11-13,36.14345199613515,36.27461242675781,36.76310348510742,36.11573502846458,hold,0.0,0.017144225433656235,0.0,100.0,0.0,0.0
2024-11-14,36.7766708876279,36.76310348510742,37.812442779541016,36.836778404610946,hold,0.0,0.028163829593982115,0.0,100.0,0.0,0.0
2024-11-15,37.721981009239556,37.812442779541016,36.880699157714844,37.64163935760162,hold,0.0,-0.022302165183706868,0.0,100.0,0.0,0.0
2024-11-18,37.15014893447886,36.880699157714844,36.70122146606445,36.92131039918476,hold,0.0,-0.012084136437949922,0.0,100.0,0.0,0.0
2024-11-19,36.728990218724704,36.70122146606445,35.88203811645508,36.82832776396951,hold,0.0,-0.02305949870186852,0.0,100.0,0.0,0.0
2024-11-20,36.10881274664841,35.88203811645508,35.98848342895508,35.685734013399795,hold,0.0,-0.00333240858783157,0.0,100.0,0.0,0.0
2024-11-21,36.131953865391395,35.98848342895508,35.928314208984375,35.767079428264275,hold,0.0,-0.005635999015322413,0.0,100.0,0.0,0.0
2024-11-22,36.14121494517308,35.928314208984375,35.257240295410156,35.91530989046203,hold,0.0,-0.024458907956025677,0.0,100.0,0.0,0.0
2024-11-25,34.92863554908132,35.257240295410156,33.57721710205078,35.279644985572816,hold,0.0,-0.038690845656754624,0.0,100.0,0.0,0.0
2024-11-26,33.48928182724609,33.57721710205078,33.202335357666016,33.862473886377565,hold,0.0,-0.00856830764721328,0.0,100.0,0.0,0.0
2024-11-27,32.878369141305,33.202335357666016,33.15142822265625,33.15865004623681,hold,0.0,0.008305128523184768,0.0,100.0,0.0,0.0
2024-11-28,33.4059771134025,33.15142822265625,33.526309967041016,33.436946620051934,hold,0.0,0.0036021354271429384,0.0,100.0,0.0,0.0
2024-11-29,33.36432472558882,33.526309967041016,33.679039001464844,33.20200783491727,hold,0.0,0.009432658339842082,0.0,100.0,0.0,0.0
2024-12-02,33.32267021551148,33.679039001464844,34.06780242919922,33.427282327235886,hold,0.0,0.022361119588216072,0.0,100.0,0.0,0.0
2024-12-03,34.248301900227865,34.06780242919922,34.711116790771484,34.17070134486663,hold,0.0,0.013513513513513598,0.0,100.0,0.0,0.0
2024-12-04,34.78516960909486,34.711116790771484,34.77128219604492,34.77822689138692,hold,0.0,-0.0003992337310986249,0.0,100.0,0.0,0.0
2024-12-05,34.89624032660733,34.77128219604492,36.520721435546875,34.78417366116456,hold,0.0,0.046551751527826646,0.0,100.0,0.0,0.0
2024-12-06,36.451300390761176,36.520721435546875,36.293941497802734,36.449528913863666,hold,0.0,-0.004316962392878709,0.0,100.0,0.0,0.0
2024-12-09,36.58551767628927,36.293941497802734,35.84038543701172,36.20840987066576,hold,0.0,-0.020366863354798648,0.0,100.0,0.0,0.0
2024-12-10,35.900549967881965,35.84038543701172,35.94683074951172,35.724375499789936,hold,0.0,0.0012891385137876465,0.0,100.0,0.0,0.0
2024-12-11,36.002369372633154,35.94683074951172,36.09030532836914,35.98736545616779,hold,0.0,0.0024425046814511298,0.0,100.0,0.0,0.0
2024-12-12,36.19675050183532,36.09030532836914,36.321712493896484,36.035655703907125,hold,0.0,0.00345229862705021,0.0,100.0,0.0,0.0
2024-12-13,36.24765773656556,36.321712493896484,36.03476333618164,36.40161401525283,hold,0.0,-0.00587332847631572,0.0,100.0,0.0,0.0
2024-12-16,36.16435179935098,36.03476333618164,35.98848342895508,35.95403148061065,hold,0.0,-0.004863031179755839,0.0,100.0,0.0,0.0
2024-12-17,35.81724413355747,35.98848342895508,35.35905838012695,36.09264320063535,hold,0.0,-0.0127923229303184,0.0,100.0,0.0,0.0
2024-12-18,35.252608850486894,35.35905838012695,35.82187271118164,36.01977899522132,hold,0.0,0.016148134258916924,0.0,100.0,0.0,0.0
2024-12-19,35.4516203599797,35.82187271118164,34.79905319213867,36.085031503739394,hold,0.0,-0.01840725927940068,0.0,100.0,0.0,0.0
2024-12-20,34.61855289743563,34.79905319213867,34.84996032714844,34.619881181859206,hold,0.0,0.006684491705889695,0.0,100.0,0.0,0.0
2024-12-23,34.863846859001825,34.84996032714844,34.90549850463867,34.69647391812611,hold,0.0,0.0011946944869651865,0.0,100.0,0.0,0.0
2024-12-27,35.0350854098892,34.90549850463867,35.4932746887207,34.90576306743786,hold,0.0,0.013078012325957511,0.0,100.0,0.0,0.0
2024-12-30,35.49327177894138,35.4932746887207,35.65988540649414,35.465104596395655,hold,0.0,0.004694231306441976,0.0,100.0,0.0,0.0
